prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,worstLastFramesDur,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
101,1,63,500,1000,noise,0.8889655497605142,,,,,0,0,0,0,3.279631699959282,2.2129270999575965,231.54490186665325,-106.41644506118857,221.12939279604944,-119.24826466627054,210.87855905056924,-131.87720565533186,242.00200514891938,-93.53338173704799,0,"[16.44119999 17.24489999 16.29140001 16.5346     16.57919999 16.62419998
 16.6949     16.66550001 17.16029999 16.11920004 16.99649997 16.62419998
 17.17000001 16.1979     16.39619999 16.47020003 16.66299999 17.23619999
 16.85320004 16.47669997 16.02010004 16.98819996 16.63550001 16.40289999
 17.16710004 16.57339995 16.52490004 16.66679996 16.66670002 17.39350002
 16.34649996 16.71670005 17.00759999 16.16459998 16.55659999 17.02259999
 16.2599     16.52040001 16.59469999 16.66810003]",17.393500020261854,0,nan,nan,345.0,25.0,3.2664273999398574,[],2.2131143999285996,None,83.34453150001355,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,2,39,1000,1000,noise,3.8018627259971423,,,,,0,1,1,1,3.7367793199955486,2.620477619988378,399.9216192738884,174.60895336606293,412.9013929358695,184.68823761514045,426.2546756445795,195.05756573937495,386.40168316733485,164.11021258705622,0,"[16.66810003 16.13279997 17.04180002 16.58290002 17.08639995 16.6568
 16.75840002 16.22410002 16.44219999 16.79359999 16.6795     16.60560002
 17.04599999 16.4809     16.86540002 16.28339995 17.08580001 16.7482
 16.13900001 16.79349999 16.46900002 16.80909999 16.66389999 16.58280002
 16.8791     16.83729998 16.4814     17.17160002 16.15139999 16.31049998
 16.9701     16.55430003 16.51519997 16.86590002 16.59339998 16.58500003
 16.87449997 16.47580002 17.08080003 16.78539999]",17.17160001862794,0,nan,nan,32.0,35.0,3.726122119987849,[],2.6206491199554875,None,86.91025830002036,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,3,103,1000,500,no_noise,1.714182349318273,,,,,0,2,2,2,3.7138436199747957,2.913967219996266,-490.31363248846606,165.23436862806312,-489.1231654175275,156.98881333474714,-487.99928750621433,149.20447583655564,-491.52401200770464,173.61784390042874,0,"[16.78539999 16.70099999 16.53360005 16.50149998 17.24989997 16.51630003
 16.51009999 16.77509997 16.50350005 16.66369999 16.6566     16.50919998
 16.818      16.69010002 16.70169999 16.80609997 16.75000001 16.53690002
 16.70049998 16.59790002 16.95740002 16.34719997 17.19310001 15.84210002
 16.75449999 16.77759999 17.09580002 16.41389995 16.60960005 16.71589998
 16.58609998 16.69710001 16.5268     16.61469997 16.81710006 17.24689995
 15.74600005 16.6726     16.94979996 16.36940002]",17.249899974558502,0,nan,nan,-458.0,146.0,3.701773719978519,[],2.9141250199754722,None,90.9097484999802,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,4,41,500,500,no_noise,4.3377759607516175,,,,,0,3,3,3,3.6973247199202888,2.6140808199415915,-357.9281925075573,168.10626754610175,-354.88506362648235,175.84605891638114,-351.8629564138899,183.53238448397258,-361.0807840899731,160.08807243272952,0,"[16.36940002 16.66899998 16.47600002 16.84989996 16.40200004 16.9164
 16.27799997 16.71380003 17.36599999 16.2522     16.71380003 16.66530001
 16.66389999 16.5961     16.71180001 16.60029998 17.12159999 16.75770001
 16.71930001 16.18209999 16.38390002 16.50879998 16.5881     17.3454
 16.37939998 16.79540001 16.47989999 17.11870002 16.5876     16.58520004
 16.34189999 16.8551     16.74019999 17.25580002 15.88199998 16.67480002
 16.52299997 16.4813     17.40449999 16.53250004]",17.40449998760596,0,nan,nan,-281.0,94.0,3.6853189199464396,[],2.6142565199406818,None,94.8927462999709,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,5,11,500,1000,no_noise,2.533614156365015,,,,,0,4,4,4,3.1287666199496016,2.1455538199516013,-547.4182162580965,-240.74237980594458,-533.7930274291439,-250.22434112305496,-520.5743009741043,-259.42343953421306,-561.1026671378828,-231.21917719077734,0,"[16.53250004 16.65160002 17.0771     16.47269999 16.5805     17.26490003
 15.87539999 16.85730001 16.4206     17.0006     16.79949998 16.0448
 17.57160004 16.50329999 16.4894     16.54129999 17.01239997 16.39539999
 16.91860001 16.67020004 16.49799995 16.06470003 16.98949997 16.33340004
 16.85859996 17.07430003 16.47480001 17.15089998 16.66089997 16.32140001
 16.8704     16.61570003 16.59349998 16.60849998 16.71620004 16.8406
 16.13169996 16.58950001 16.6499     17.12189999]",17.571600037626922,0,nan,nan,-375.0,-309.0,3.117421819944866,[],2.145722519955598,None,98.85879779997049,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,6,3,500,500,no_noise,4.057225719462251,,,,,0,5,5,5,4.907238319923636,3.641492819879204,-801.3390468755513,-189.32072059647606,-796.2345174668324,-182.67751729566436,-791.1325775371114,-176.03768402841484,-806.3947113301161,-195.9003294307389,0,"[17.12189999 16.86769997 16.88700001 17.18199998 16.00820001 17.12400001
 16.65240002 16.71170001 16.06329996 17.2226     16.55619999 16.62000001
 16.0536     17.51000003 16.69179997 16.20529999 16.5963     16.49840001
 17.14119996 16.22580003 17.20920001 16.57599997 16.60219999 17.06580003
 16.82369999 16.37139998 16.57890005 16.50589996 16.93139999 16.41400001
 16.42649999 17.06820005 15.83249995 16.94720006 17.42429996 16.43309998
 16.74990001 16.75499999 16.59690001 16.4506    ]",17.510000034235418,0,nan,nan,-849.0,-193.0,4.894609619921539,[],3.6416642199037597,None,102.2585997999995,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,7,21,1000,500,noise,0.33919912886808845,,,,,0,6,6,6,4.373932319984306,3.1074363199877553,376.93636326766153,-78.42523228332851,369.0940554704211,-81.1922811822521,361.3932952267092,-83.90938700163039,385.0405480828106,-75.56578373205868,0,"[16.4506     16.73129998 16.5651     16.68549998 16.38620003 17.15969999
 16.08039998 16.62529999 17.07550004 16.38519997 17.06670003 16.57400001
 16.60859998 16.79759996 16.5122     16.56449999 16.64120005 16.99569996
 16.27040002 16.41899999 16.89269999 16.6182     16.32440003 16.69419999
 16.76769997 16.97160001 16.63959998 16.94590005 16.33729995 17.0549
 16.1222     16.41000004 17.27000001 16.5112     16.77329995 16.43400005
 16.37329999 16.61609998 17.12580002 16.83889999]",17.270000011194497,0,nan,nan,402.0,-62.0,4.361549819994252,[],3.107627319986932,None,107.44080749998102,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,8,75,500,500,noise,4.271662916957972,,,,,0,7,7,7,4.783138019964099,3.316102319979109,-865.6319720740244,-315.0857897169532,-862.0250367060088,-307.43859553599503,-858.5325357869621,-300.0340179707977,-869.092691578026,-322.4229863541886,0,"[16.09250001 16.31599996 17.37790002 16.5646     16.30229998 16.96209999
 16.95960003 16.6189     16.78770001 16.6039     16.70439995 16.4506
 16.75090002 16.535      16.37979998 16.56750002 17.04599999 16.94220002
 16.55329997 16.76300005 16.60959999 16.68190002 16.59449999 16.66659996
 16.57920005 17.09509996 16.26940002 16.5424     16.59379998 16.58600004
 16.77449996 17.69090001 15.45469998 17.27340004 16.35489997 16.6645
 16.19900001 17.08909997 16.21830004 16.4662    ]",17.690900014713407,0,nan,nan,-815.0,-224.0,4.771845419949386,[],3.2998135199886747,None,112.10682929999894,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,9,9,1000,500,noise,0.7855177949862986,,,,,0,8,8,8,3.5352326199645177,2.2360075199394487,-652.7048557171936,-179.65449372060618,-658.5404047246711,-185.491439127143,-664.4707653881677,-191.42321887735127,-646.7207259981575,-173.66893204836416,0,"[16.4662     17.2912     16.49100002 16.2894     17.24299998 16.92570001
 15.96690004 16.50249999 16.63619996 16.50530001 16.54530002 17.37630001
 16.64679998 16.96149999 15.91950003 17.28500001 16.39559999 16.54470002
 16.53659996 17.23620004 16.41129999 17.05019997 15.70690004 16.91799995
 17.05080003 16.13599999 17.3377     16.97539998 15.98070003 16.99609996
 16.66850003 16.27560001 16.14359999 17.76720001 15.81479999 16.82299998
 16.78080001 16.5036     16.89099998 17.26410002]",17.76720001362264,0,nan,nan,-659.0,-380.0,3.5230905199423432,[],2.23618191992864,None,117.17280629999004,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
101,10,6,500,1000,noise,0.1657996157052124,,,,,0,9,9,9,3.8802015199908055,2.3650170199689455,-741.8661599004998,-145.32600883509824,-758.402933154864,-148.09320234333768,-774.9058767474168,-150.85473493943243,-725.4461630196167,-142.57835618997893,0,"[17.26410002 16.58579998 16.44480001 16.90589997 16.99700003 16.6423
 16.35260001 16.98249998 15.92879998 17.43529999 16.0835     17.20810001
 16.45510003 16.77549997 17.16759999 16.28100005 16.3438     16.1452
 17.05619995 17.13759999 16.53810003 16.7864     16.08079998 17.02220005
 16.28049999 16.61689999 17.31860003 16.43209998 17.06500002 16.36919996
 16.77800005 16.06849994 16.62310003 17.0768     16.60670002 16.82779996
 16.72880002 16.7339     16.64039999 17.08229998]",17.43529998930171,0,nan,nan,-830.0,-257.0,3.8722246199613437,[],2.3651891199988313,None,120.98924660001649,None,../,cjh,101,noiseMot_exp1_noise,2021_Aug_06_0943,2021.2.1,
