prot_id,trial_id,trajectory_id,Var1,Var2,Var3,noise_present,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,65,45,1500,2000,2500,no_noise,4.807840288886251,,,,,0,64,64,64,3.7708655572496355,1.9373628292232752,339.4445966529459,-171.66162936373962,335.44210342284197,-129.85675109833335,331.4758826103912,-88.43072769093811,343.3823103621088,-212.78990436429538,3,"[16.7296112  16.71828679 16.99472615 16.30465896 16.6031369  16.91106311
 16.44198596 16.77182107 16.62551891 16.59172005 16.7645691  16.58522501
 16.66780887 16.80289605 16.5582269  16.62471611 16.39200305 16.99637203
 16.82506595 16.79086289 15.96650598 17.18669501 16.85322612 16.35911199
 16.960982   16.42068895 16.87270799 16.52778499 16.39393508 16.95349184
 16.78960607 16.34360105 16.62210491 16.73425897 16.66912716 16.72145096
 16.65576594 16.76773094 16.55881503 16.61187503]",0,nan,nan,286.0,-168.0,3.7604942412581295,[],1.937460798304528,None,425.03097111498937,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,66,105,2500,2000,1500,no_noise,3.53538197645001,,,,,0,65,65,65,4.683869803091511,3.6171164540573955,-352.4623826800562,-46.51076622348199,-329.4336004533034,-36.94250440532938,-306.3638016987319,-27.35720057109544,-375.52862731606416,-56.094593351886914,3,"[16.55881503 16.61187503 16.66203002 16.74502599 16.68140804 16.61596098
 16.72788104 16.62636595 16.88354206 16.54425194 16.65536594 16.74254495
 16.54547406 16.91239397 16.38101414 16.696495   16.64237981 16.70967415
 16.67945297 16.36766107 16.86283899 16.767869   16.68177987 16.64003311
 16.67693397 16.63780399 16.75407402 16.9830299  16.294559   16.94907807
 16.40097192 17.00587408 16.28169091 16.55653818 16.821675   16.66557486
 16.64946415 16.62050397 16.64929488 16.83022804]",0,nan,nan,-352.0,-74.0,4.674585073953494,[],3.617255757097155,None,429.59722092887387,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,67,172,2500,1500,2000,noise,1.6972984109258968,,,,,0,66,66,66,3.6192013821564615,2.236373011255637,-209.30695000024713,327.44134319383716,-205.05197926727607,293.9853776713481,-200.84906473862887,260.938719447637,-213.50056414735255,360.41487441768504,3,"[16.83022804 16.32683096 16.66245493 17.574433   15.54885902 16.92439313
 16.60543494 17.15366496 16.47418807 16.64327201 16.72752993 16.63529593
 16.66188799 17.28042006 16.08879701 16.64567995 16.71916712 16.68667397
 16.64183289 16.69640117 16.61711582 16.54518605 16.78427798 17.13057701
 16.16701507 16.89579198 16.61456702 16.58577286 16.61221217 16.6894549
 16.72257809 16.62221691 16.57165005 17.64177694 15.73981601 16.66468708
 16.65723603 16.84086304 16.61852282 16.52578311]",0,nan,nan,-155.0,297.0,3.6150432901922613,[],2.2364672783296555,None,435.0805608090013,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,68,93,1500,2000,2500,noise,4.324641314623744,,,,,0,67,67,67,3.2279828239697963,1.9522387741599232,439.57255152215276,-106.25523140291254,455.3383246255044,-67.65378785587095,471.08164415182597,-29.107320394079036,423.7660537722185,-144.95638652995254,3,"[16.52578311 16.68943418 16.84111799 16.13292983 17.26005203 16.48484403
 16.86276798 16.42141491 16.65916713 16.37131209 16.97986899 16.53856784
 16.67992701 16.60297415 16.69173595 16.64097793 16.72428101 16.85655792
 15.98765608 17.09433109 16.62363089 16.85695606 16.76098094 16.81975392
 16.33370202 16.64606598 16.68844908 16.56529494 16.74944418 16.71916083
 16.57994697 16.68677409 16.61429997 16.60426916 16.70934889 16.69902494
 16.67886204 16.67857193 16.68327604 16.70842012]",0,nan,nan,350.0,-212.0,3.2252972221467644,[],1.9523332931566983,None,439.53202477586456,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,69,71,1500,2500,2000,noise,3.3761166247859786,,,,,0,68,68,68,3.560502674197778,2.052856430178508,-564.7265127438503,-48.404789383608886,-528.6880871743056,-39.794472727874,-497.0268881995903,-32.22996499580189,-594.2566062504974,-55.46013244999866,3,"[16.70842012 16.81006886 16.60104701 16.78978815 16.40743087 16.70858311
 16.94663893 16.25056611 16.85805502 16.71444182 16.66830014 16.871267
 16.24438702 16.87166002 16.62673289 16.908288   16.4555551  16.45364286
 16.81691711 16.71873685 16.66793413 16.71295892 16.55297191 17.10091508
 16.26602397 16.53956808 16.78784797 17.01185806 16.06624085 16.94558607
 16.69108099 16.66048006 16.68334007 16.61779592 16.57860307 16.79374301
 16.28069696 17.18842285 16.50150516 16.7452509 ]",0,nan,nan,-487.0,-25.0,3.559083813102916,[],2.0529680142644793,None,443.5635538599454,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,70,186,2500,2000,1500,noise,6.248809832240218,,,,,0,69,69,69,4.7577240453101695,3.6003148583695292,540.0879633037254,-332.26302809496525,515.2372101521303,-331.40843500965315,491.6063177273222,-330.59579174114526,565.2252043511548,-333.127473218697,3,"[16.50150516 16.7452509  16.57576091 16.78057108 16.60746802 16.73885807
 16.65603789 16.810606   16.58894005 16.69495786 16.65397407 16.67584199
 16.79249015 16.68919087 16.91204798 16.5600921  15.94003988 17.29919808
 16.49623387 16.75187517 16.61453489 16.57781797 16.75732504 16.62823604
 16.65024599 16.66935207 16.63579885 16.71567303 16.57839608 16.59755385
 17.14181108 16.65833313 16.65272587 16.68698899 16.040141   17.72847911
 15.94613097 16.57471689 16.75181207 16.60135807]",0,nan,nan,441.0,-312.0,4.755670934217051,[],3.6004126153420657,None,447.93004682287574,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,71,18,2000,2500,1500,noise,2.5683129830132803,,,,,0,70,70,70,3.2438253350555897,2.0698456531390548,103.27140968350803,50.06220177877803,124.7030885155631,36.225794012472505,145.76911553401203,22.625453034643527,82.55858623046008,63.434512624497565,3,"[16.60135807 16.39056392 17.72057614 15.54857288 16.62338409 16.62724093
 16.8824459  16.4432351  16.68988494 16.64997404 16.75989106 16.61264198
 16.6389409  16.69296599 16.65082807 16.65037195 16.41350798 17.00802404
 16.70303498 16.90925215 16.35203301 16.66747383 16.8006001  16.47706702
 16.91355091 16.13462996 17.01280498 16.60472318 16.59943094 16.76738495
 16.63427404 16.65748307 16.68606396 16.69781096 16.62887703 16.65271493
 16.74265601 16.93937508 16.45645895 16.718372  ]",0,nan,nan,35.0,64.0,3.242003720253706,[],2.069943339098245,None,453.4970641939435,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,72,65,1500,2500,2000,noise,0.8536925877457779,,,,,0,71,71,71,4.302468221168965,3.068967789178714,313.9966812355364,88.07907347153721,291.63737699096873,62.436395181515074,269.8669012322486,37.469012476070816,335.5016856757251,112.74200146131282,3,"[16.718372   16.55802806 16.66333992 16.684626   16.63462794 16.66415809
 16.71123598 16.67901594 16.44205698 16.81000809 16.6391409  16.53181808
 16.66290802 16.81387704 16.55933098 16.36912697 17.07988186 16.66972716
 16.63802098 16.66770503 16.66124188 16.64923504 16.55452605 16.86963905
 16.53483999 16.80878201 16.59209584 16.72092802 16.89662808 16.44021389
 17.29650097 16.1348742  16.63694694 16.56736108 16.5806429  16.76493511
 16.56952687 16.94965293 16.42713207 16.71167393]",0,nan,nan,338.0,82.0,4.296844153199345,[],3.069091589190066,None,457.5468128309585,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,73,239,2500,1500,2000,noise,1.5959942524582136,,,,,0,72,72,72,3.3080327240750194,2.119023455074057,-319.85394836504946,169.8110631490451,-319.00583441312415,136.1601009051797,-318.1841703583056,103.55860198740397,-320.6820389317705,202.6675493935811,3,"[16.71167393 16.6662191  16.6995849  16.65634406 16.73140586 16.65913011
 16.65730099 17.93367206 15.309765   16.56585187 16.83654101 16.70638309
 17.00490201 16.27451298 16.91316906 16.39251295 16.42397302 16.92639687
 16.62751613 16.68575988 16.70469297 16.68409212 16.70071087 16.67692699
 16.58837101 16.68444718 16.66215993 16.75566705 16.55434701 16.38002787
 16.71522902 16.7311111  17.18867896 16.40687091 16.74041408 16.90673106
 16.36308082 16.77426416 16.47012285 16.75530896]",0,nan,nan,-262.0,194.0,3.3066380352247506,[],2.119117194088176,None,462.6634086209815,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
1,74,234,2500,2000,1500,no_noise,3.023268481941673,,,,,0,73,73,73,3.3711731501389295,1.8378039691597223,-264.1293031942508,91.02851008854856,-240.1188856801428,88.17416401363643,-215.00052895595056,85.18810669573209,-289.6405888372615,94.06127859406512,3,"[16.75530896 16.59094007 16.52100799 16.20156504 17.16974308 16.75205003
 16.12727088 17.33530499 16.54511993 16.09835611 17.12768991 16.64189016
 16.43280289 17.2826359  16.34405716 16.20152686 16.67143218 17.05598994
 16.7660669  16.81415108 16.2463591  16.92624087 16.75641001 16.59287
 16.66088612 16.72382792 16.57682308 17.01109693 16.41110494 16.61834097
 16.70641708 16.6540069  16.73829206 16.60399092 16.56485605 16.73413697
 16.83442295 16.16201503 17.09969412 16.63349196]",0,-252.0,78.0,-252.0,78.0,3.357963593211025,[],1.8379250520374626,None,466.779899999965,None,../,2107,1,noiseMot_exp1_noise,2021_Jul_21_1343,2021.1.2,
