prot_id,trial_id,trajectory_id,Var1,Var2,Var3,direction,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
1,18,27,2000,2500,2500,1.2473250887137333,,,,,0,17,17,17,4.303843956440687,-1164.0022667916492,-130.06990811085575,164.53275106851632,-130.06990811085575,164.53275106851632,9,"[16.69958606 17.01178588 16.74354915 16.69084001 16.508047   16.80639689
 16.49077307 16.95223898 16.63850597 16.54137997 16.92353096 16.25032816
 16.73681987 16.99890592 16.80543413 16.75605308 16.5296949  16.65742695
 16.57483913 17.28477795 16.00975799 16.87736996 16.484641   16.94109407
 16.12941804 16.57042885 17.24713016 16.87207283 16.09077095 17.15289522
 16.49482292 16.49704902 16.64748997 16.80530491 16.98065503 18.20063009
 14.78028297 16.62283787 16.6624391  16.96228003]",0,nan,nan,-84.0,187.0,4.301839233376086,[],2.81964447745122,None,165.0209684181027,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,19,14,2000,1500,1500,3.1479070308032355,,,,,0,18,18,18,3.355252703418955,-1169.20042273961,-161.91168454381227,405.9886115101064,-161.91168454381227,405.9886115101064,9,"[16.96228003 15.83686611 17.14205905 16.31569397 16.80325298 16.47403603
 16.899321   16.74170792 16.79375209 17.02815806 15.9461759  17.13389205
 16.29740396 16.95856592 16.49741898 16.92381711 16.90597087 16.76601917
 16.25921996 16.20041486 17.16168621 16.51163492 16.16682298 16.71419595
 17.30782911 16.54475485 16.23910712 16.67998987 17.43504312 15.86204208
 16.68869983 16.65780717 17.09405379 16.20796113 16.85019489 17.02599903
 16.5608481  16.69050101 16.33225381 17.14159804]",0,nan,nan,-292.0,394.0,3.3390805234666914,[],1.8050802445504814,None,170.21993860718794,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,20,31,1500,2000,1500,3.244767086990505,,,,,0,19,19,19,3.7298854626715183,-1173.4506536384579,112.07392093405687,76.97030578663866,112.07392093405687,76.97030578663866,9,"[17.14159804 16.51672297 16.73672395 17.0618901  15.89375595 16.36713906
 16.58083103 17.356297   16.22390584 16.58212603 17.09173503 16.31146413
 16.68796898 16.91363286 16.321406   17.0344091  16.41462604 16.71304298
 16.46740898 17.22993492 16.13261108 17.78819598 15.48623992 16.79506013
 17.25688484 16.06567809 17.13312906 16.74215589 16.69172104 16.62841695
 16.24179608 16.69243607 16.52483898 17.23476197 16.48180303 16.65960299
 16.56313194 16.65037707 16.87102881 16.2833652 ]",0,nan,nan,44.0,89.0,3.7284833716694266,[],2.587514316663146,None,174.46981003019027,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,21,54,2500,2500,2500,3.7733825929424265,,,,,0,20,20,20,3.6221980054397136,-1178.0704630336259,-358.8632990240327,-414.2476468170858,-358.8632990240327,-414.2476468170858,14,"[16.48180303 16.65960299 16.56313194 16.65037707 16.87102881 16.2833652
 16.10158104 16.80343389 16.52186108 17.49680308 16.53600088 16.0668781
 16.74014796 16.68820507 16.53517783 17.01896801 16.34570514 17.41924789
 16.28164202 16.90549497 16.023512   16.61592699 16.73672907 16.83388208
 16.676303   17.30597299 18.07383192 32.2246321  30.06255184 29.62177806
 44.17281202 29.24200194 16.79359004 16.234888   16.18955913 16.60934999
 16.97095297 16.51307102 16.61726995 16.64655702]",5,nan,nan,-306.0,-384.0,3.620667013572529,[],1.8178690844215453,None,179.08799415803514,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,22,9,2000,2500,2000,0.7688449103223007,,,,,0,21,21,21,5.515645584557205,-1182.5838141965214,539.6810077533182,335.47884104766837,539.6810077533182,335.47884104766837,14,"[16.64655702 16.74639899 16.1204699  17.19130808 16.25192002 16.92837989
 16.65138896 16.76977915 16.30593603 17.26178289 17.26004994 15.4155381
 16.82272693 16.34882903 17.53225201 16.12930698 16.56020014 17.01306179
 16.28378802 16.73845714 16.85302099 16.73448388 17.16157212 16.47777902
 16.72367682 16.10556408 16.88529202 16.26397506 17.11376105 16.29676693
 16.62916387 16.76111901 16.73946809 16.75488497 16.31025295 16.79986017
 16.94876002 16.64717193 16.44298201 16.67595794]",0,nan,nan,465.0,244.0,5.5136107036378235,[],2.8378091615159065,None,183.60352587513626,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,23,52,2500,1500,2000,4.3576514071580235,,,,,0,22,22,22,5.040766039863229,-1189.0085877941456,250.67094783621218,-103.17584976455366,250.67094783621218,-103.17584976455366,16,"[16.44298201 16.67595794 19.50154197 21.34885802 20.63416294 17.90041616
 15.90593182 15.834074   16.44944912 16.63039299 16.25348907 16.90828986
 16.64702292 16.59988216 17.0038729  16.43983508 16.45207987 16.47772221
 17.03906083 16.77702414 16.81346702 16.18863479 17.14150421 16.022834
 17.12993882 16.45995514 16.53293706 17.41211978 16.00174722 16.48999983
 17.05695596 16.40189113 16.68830495 17.22693793 16.46053814 16.7448509
 16.23542304 16.75770502 16.45444497 17.09995302]",2,nan,nan,204.0,-138.0,5.038690333021805,[],3.196673118043691,None,190.03463338012807,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,24,44,2000,2500,2500,3.0003537851897186,,,,,0,23,23,23,3.838994845515117,-1194.9517024084926,-492.25773444139685,234.38221859303127,-492.25773444139685,234.38221859303127,18,"[16.40189113 16.68830495 17.22693793 16.46053814 16.7448509  16.23542304
 16.75770502 16.45444497 17.09995302 30.43982806 21.19544987 19.79847602
 16.97314717 16.91455697 16.53480786 16.47658995 16.64830814 16.81079995
 16.44317899 16.72199811 16.90199482 18.44492205 14.60247813 16.90739393
 16.66082907 16.75128588 16.89979713 16.33564802 16.84951899 16.37174282
 17.08208211 16.19530702 16.6421819  16.56565303 16.78491198 16.95458801
 16.51192899 16.3582901  16.89860388 16.55735006]",2,nan,nan,-391.0,180.0,3.835984177654609,[],2.269402685575187,None,195.9639174269978,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,25,32,1500,1500,2000,1.4547962331196675,,,,,0,24,24,24,3.678790653590113,-1199.696707909461,445.48550283449646,441.2676232679106,445.48550283449646,441.2676232679106,18,"[16.55735006 17.08338107 16.3109859  17.89904805 15.26209293 17.22976309
 16.83709095 15.97035001 16.85209107 16.68449189 16.69195294 16.31614612
 17.67031592 15.64526814 17.28386292 16.459418   16.4245239  16.34781319
 17.00857584 16.46334701 16.579838   16.94205194 16.76809113 17.38851401
 15.81065706 16.83545089 16.53491496 16.853804   16.29680605 16.62593195
 16.71021013 16.84050984 16.35552314 17.19721686 16.21352416 16.92384691
 16.89583203 15.92023601 17.13188901 16.58832887]",0,nan,nan,424.0,340.0,3.6772654217202216,[],1.8245805415790528,None,200.70966307609342,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,26,12,1500,2000,2500,3.3309891364506665,,,,,0,25,25,25,3.408721806947142,-1204.2723852582276,-475.88143809503356,-112.22586560044788,-475.88143809503356,-112.22586560044788,18,"[16.58832887 16.78260206 16.77366788 17.18845405 16.43526601 16.19589096
 17.28242193 16.48391713 16.61738101 16.67212392 16.87769615 16.80877199
 16.54475299 16.24177792 16.60862099 16.73150691 17.29359012 16.13109186
 17.04303804 16.11684915 17.30863797 16.11736999 16.73278795 16.63738
 17.09312806 16.74175006 16.29192382 16.54074201 16.64449601 16.92319801
 16.61409414 16.65317989 16.39323891 16.78200299 17.09458604 16.27293811
 16.83454798 16.78460604 16.71252283 16.69927803]",0,nan,nan,-404.0,-131.0,3.406937403837219,[],1.8992643838282675,None,205.2891832701862,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
1,27,46,1500,1500,2000,1.2753869003436824,,,,,0,26,26,26,4.858968031592667,-1208.5689299944788,-196.72504026666945,175.4692778791444,-196.72504026666945,175.4692778791444,18,"[16.69927803 16.78646309 17.11187395 16.10599901 16.94752392 16.9015131
 15.95215593 16.703489   16.73195697 17.28203706 16.20942797 16.62835595
 16.80021896 16.32775506 17.10140496 16.28406812 17.02836296 17.08582789
 15.90429107 16.80850703 16.63947292 16.91487618 16.69323398 16.32692199
 19.03781202 14.29033489 16.65719505 16.76353789 16.95946604 18.67756713
 14.01732187 16.97763707 16.38109004 16.82814187 16.98249695 16.67247713
 16.25782507 17.1292189  16.03601594 17.10815798]",0,nan,nan,-159.0,199.0,4.8576936887111515,[],3.419078955659643,None,209.58690769714303,None,../,999,1,noiseMot_exp1_noise,2021_Jul_17_1415,2021.1.4,
